indice_tiempo,produccion_gas_natural_cuenca_austral,produccion_gas_natural_cuenca_gsj,produccion_gas_natural_cuenca_neuquina,produccion_gas_natural_cuenca_noroeste,produccion_gas_natural_cuenca_cuyana,produccion_gas_natural_total,produccion_gas_natural_total_diario,produccion_shale_gas,produccion_tight_gas,participacion_no_convencional
2021-02,865759.1604,300491.6580,1915575.4731,122620.2359,3627.7812,3208074.3086,114.5741,742767.765321000,593179.292299,41.6433
2021-03,907897.1618,333150.2263,2168624.2193,136338.4180,3937.3866,3549947.4120,114.5144,858902.628172000,653372.765581,42.5999
2021-04,917513.4000,321970.7652,2054049.4353,129400.2777,3922.1240,3426856.0022,114.2285,785797.384995500,637257.99432371,41.5266
2021-05,938163.9466,335318.5516,2349842.5102,132197.6934,4081.5790,3759604.2808,121.2776,999974.136535000,686788.09742803,44.8654
2021-06,885599.2161,333776.7283,2459798.7428,127684.0038,3833.4967,3810692.1877,127.0231,1153367.352999600,685550.22006722,48.2568
2021-07,924873.0175,342718.6419,2650124.7121,130829.9369,4065.3024,4052611.6108,130.7294,1276950.769862000,742773.13588483,49.8376
2021-08,929050.6923,344045.4915,2739016.5171,128942.6926,4436.0204,4145491.4139,133.7255,1361213.385374000,757051.92756474,51.0981
2021-09,894057.1344,319259.4728,2638063.4941,124574.0070,4231.7995,3980185.9078,132.6729,1316213.564445000,741197.6378938,51.6913
2021-10,882769.7972,324798.5154,2606388.6022,125859.5956,4321.6555,3944138.1659,127.2303,1302477.801672000,732426.2069275,51.5931
2021-11,866394.3406,313641.7632,2530579.6163,121402.8676,4328.5766,3836347.1643,127.8782,1303716.111395000,698058.76927495,52.1792
2021-12,880090.2948,331421.7187,2654057.0987,124704.1830,4457.7397,3994731.0349,128.8623,1343129.589042000,743349.80444105,52.2308
2022-01,868057.7400,331205.7448,2702505.9475,122432.7848,4341.9636,4028544.1807,129.9530,1403263.328567000,728462.28831895,52.9155
2022-02,792542.8240,304404.1618,2353589.2588,110781.0297,3844.6830,3565161.9573,127.3272,1198175.159547000,653181.03277402,51.9291
2022-03,706361.6710,347647.5070,2709280.8951,122108.9332,4376.3253,3889775.3316,125.4766,1420469.187585000,729798.18245598,55.2800
2022-04,835694.6340,328296.0694,2536333.4574,116780.4076,4122.6202,3821227.1886,127.3742,1340953.425813000,688351.04941696,53.1061
2022-05,850607.1424,342536.9841,2901156.5447,119258.5770,4385.3380,4217944.5862,136.0627,1604712.507348000,742181.29684600,55.6407
2022-06,833943.1501,337213.7003,2895145.2169,114727.7719,4099.6213,4185129.4605,139.5043,1597287.871736000,755410.81163674,56.2157
